stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
401140,AIR LIQUIDE,FR0000120073,B1YXBJ7,AIRP.PA1,12/18/2023,99532178.6486055
401190,AKZO NOBEL,NL0013267909,BJ2KSG2,AKZO.AS1,12/18/2023,25271133.5276444
401207,AKSIGORTA,TRAAKGRT91O5,B03MND6,AKGRT.IS,12/18/2023,8359491.36829535
401224,AKSA AKRILIK KIMYAI,TRAAKSAW91E1,B03MNB4,AKSA.IS,12/18/2023,7297750.72163791
401225,AIRBUS,NL0000235190,4012250,AIR.PA1,12/18/2023,123313288.55882
401344,ALARKO HOLDING,TRAALARK91Q0,B03MNK3,ALARK.IS,12/18/2023,30280242.3385203
401632,ALLIANZ,DE0008404005,5231485,ALVG.DE,12/18/2023,188525602.385771
401701,ERAMET,FR0000131757,4017017,ERMT.PA1,12/18/2023,3672259.43063603
403197,ADIDAS,DE000A1EWWW0,4031976,ADSGn.DE,12/18/2023,90329574.4125343
403574,BORUSAN BIRLESIK BORU FABRIKALARI,TRABRSAN91G8,B03MQ15,BRSAN.IS,12/18/2023,65260374.3020427
404164,ANADOLU SIGORTA,TRAANSGR91O1,B03MNW5,ANSGR.IS,12/18/2023,9145317.17122111
404238,RICHTER GEDEON,HU0000123096,BC9ZH86,GDRB.BU,12/18/2023,3934435.25192139
404904,ARNOLDO MONDADORI EDI.,IT0001469383,4084895,MOED.MI,12/18/2023,436360.347361578
405097,ATLAS COPCO A,SE0017486889,BLDBN41,ATCOa.ST,12/18/2023,61297048.0692046
405098,ATLAS COPCO B,SE0017486897,BLDBN52,ATCOb.ST,12/18/2023,21336996.7656738
405180,ARCELIK,TRAARCLK91H5,B03MP18,ARCLK.IS,12/18/2023,21631216.2419935
405196,ASELSAN ELNK.SANVETC.,TRAASELS91H2,B03MP41,ASELS.IS,12/18/2023,90657205.9248497
405671,ASSICURAZIONI GENERALI,IT0000062072,4056719,GASI.MI,12/18/2023,59321185.0636816
406149,RTL GRP,LU0061462528,B1BK209,RRTL.DE,12/18/2023,1579709.67118575
406720,AYGAZ,TRAAYGAZ91E0,B03MPL8,AYGAZ.IS,12/18/2023,6239064.61226135
406932,GIGASET,DE0005156004,4069320,GGS.F,12/18/2023,8017.11301285135
407023,DANONE,FR0000120644,B1Y9TB3,DANO.PA1,12/18/2023,60020606.5066307
407026,BCO COMERCIAL PORTUGUES,PTBCP0AM0015,BZCNN35,BCP.LS1,12/18/2023,25672847.3836562
407141,BANKINTER,ES0113679I37,5474008,BKT.MC,12/18/2023,15115708.381979
407228,BCO SANTANDER,ES0113900J37,5705946,SAN.MC,12/18/2023,115388799.34379
407365,BANG AND OLUFSEN,DK0010218429,4161293,BO.CO,12/18/2023,124272.778666823
407683,INTESA SANPAOLO,IT0000072618,4076836,ISP.MI,12/18/2023,208590379.845071
407694,BANQUE NATIONALE DE BELGIQUE,BE0003008019,4076944,BNAB.BR1,12/18/2023,55644.0153846154
407732,BANK MILLENNIUM,PLBIG0000016,4077323,MILP.WA,12/18/2023,1928740.88869361
408252,BANK OF GREECE,GRS004013009,7376492,BOGr.AT,12/18/2023,111489.993565646
408348,BASF,DE000BASF111,5086577,BASFn.DE,12/18/2023,105664698.78408
408522,BMW,DE0005190003,5756029,BMWG.DE,12/18/2023,93713171.0752808
408530,BAYER,DE000BAY0017,5069211,BAYGn.DE,12/18/2023,143455053.848217
408580,ABB,CH0012221716,7108899,ABBN.S,12/18/2023,94564300.2457901
408904,BARCO,BE0974362940,BMB3BN1,BAR.BR1,12/18/2023,2194162.53224752
408930,BEIERSDORF,DE0005200000,5107401,BEIG.DE,12/18/2023,31612057.1321865
408948,BEKAERT,BE0974258874,5827431,BEKB.BR1,12/18/2023,1750338.80087937
409544,2INVEST,DE000A3H3L44,BM8SNQ6,2INVn.DE,12/18/2023,6847.00380112923
409590,BIC,FR0000120966,5298781,BICP.PA1,12/18/2023,1631156.57839145
409830,BILFINGER,DE0005909006,5117381,GBFG.DE,12/18/2023,1425974.89820022
410827,HELLENIC EXCHANGES HLDG,GRS395363005,4108278,EXCr.AT,12/18/2023,519125.027278457
411232,ACCOR,FR0000120404,5852842,ACCP.PA1,12/18/2023,25325140.3066921
411515,BOUYGUES,FR0000120503,4002121,BOUY.PA1,12/18/2023,25602197.2077802
411522,BCA POPOLARE DI SONDRIO,IT0000784196,4115223,BPSI.MI,12/18/2023,11651287.2871523
411574,BNC.DI DESIO E DELB.,IT0001041000,4115740,DESI.MI,12/18/2023,119514.694294166
411609,BPER Banca,IT0000066123,4116099,EMII.MI,12/18/2023,59845072.9113778
412162,BATICIM BATI ADCT.SYI.,TRABTCIM91F5,B03MPQ3,BTCIM.IS,12/18/2023,10875522.0820726
412267,Piraeus Financial Holdings,GRS014003032,BNC0DB0,BOPr.AT,12/18/2023,8359013.43245304
412532,BRISA BRIDGESTONE SABANCI,TRABRISA91E3,B03MQ60,BRISA.IS,12/18/2023,1670690.26100105
413117,BANK OF CYPRUS HOLDING,IE00BD5B1Y92,BD5B2N5,BOCH.CY,12/18/2023,254464.107779029
413234,ING BANK SLASKI BSK,PLBSK0000017,4132341,INGP.WA,12/18/2023,449662.503553602
413337,BANVIT,TRABANVT92A9,B03MPP2,BANVT.IS,12/18/2023,2042414.99340774
413366,BNP PARIBAS,FR0000131104,7309681,BNPP.PA1,12/18/2023,153713518.926355
414305,MBANK,PLBRE0000012,4143053,MBK.WA,12/18/2023,3494691.5983366
414403,BANK OF VALLETTA,MT0000020116,4144034,BOV.MT,12/18/2023,37896.2927779855
414933,BUDIMEX,PLBUDMX00013,4149330,BDXP.WA,12/18/2023,3579195.34148706
415265,BURE EQUITY,SE0000195810,4152651,BURE.ST,12/18/2023,1630334.61182126
415387,BURSA CIMENTO,TRABUCIM91F3,B03MQG0,BUCIM.IS,12/18/2023,7384981.73035597
415550,JM,SE0000806994,B142FZ8,JM.ST,12/18/2023,4934314.81095111
416279,THALES,FR0000121329,4162791,TCFP.PA1,12/18/2023,33409563.2330303
416343,CAP GEMINI,FR0000125338,4163437,CAPP.PA1,12/18/2023,59892658.6418337
416441,ANADOLU EFES,TRAAEFES91A9,B03MNV4,AEFES.IS,12/18/2023,11619837.2666141
416921,CARLSBERG B,DK0010181759,4169219,CARLb.CO,12/18/2023,25478597.2153285
417754,CARREFOUR,FR0000120172,5641567,CARR.PA1,12/18/2023,27337538.3217765
417841,CASINO GUICHARD,FR0000125585,4178419,CASP.PA1,12/18/2023,1046518.44037095
417986,Naturgy Energy Group,ES0116870314,5650422,NTGY.MC,12/18/2023,7781552.67776332
418243,CORPORACION FINANCIERA ALBA,ES0117160111,5730409,ALB.MC,12/18/2023,287255.115733446
418560,INDRA SISTEMAS,ES0118594417,4476210,IDR.MC,12/18/2023,5108705.65832224
419454,CHRISTIAN DIOR,FR0000130403,4061393,DIOR.PA1,12/18/2023,3034202.21538462
419707,CIMSA,TRACIMSA91F9,B03MQV5,CIMSA.IS,12/18/2023,31613924.7628547
420535,ELLAKTOR,GRS191213008,4205351,HELr.AT,12/18/2023,333143.810179058
420763,INDUSTRIALI RIUNITE SHS,IT0000070786,4207636,CIRI.MI,12/18/2023,363182.981090757
420958,COLOPLAST B,DK0060448595,B8FMRX8,COLOb.CO,12/18/2023,20787928.015517
421185,COLRUYT GROUP,BE0974256852,5806225,COLR.BR1,12/18/2023,4557679.92480692
421342,COMMERZBANK,DE000CBK1001,B90LKT4,CBKG.DE,12/18/2023,73309268.7934299
422060,CONTINENTAL,DE0005439004,4598589,CONG.DE,12/18/2023,27515713.8541524
422124,FOMENTO CONSTR.Y CNTR.,ES0122060314,5787115,FCC.MC,12/18/2023,646369.502073154
423244,UNICREDIT,IT0005239360,BYMXPS7,CRDI.MI,12/18/2023,296712624.741678
423586,ALPHA SERVICES AND HOLDINGS,GRS015003007,BZ1MXR7,ACBr.AT,12/18/2023,12748257.4414371
423932,ACCIONA S.A.,ES0125220311,5579107,ANA.MC,12/18/2023,12113028.9762562
