stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
326127,MITCHELLS & BUTLERS,GB00B1FP6H53,B1FP6H5,MAB.L,3/18/2024,660685.166386678
336292,IP GRP,GB00B128J450,B128J45,IPO.L,3/18/2024,1781417.77186844
360254,BOARDWALK RLST.INV.TST.,CA0966311064,B011205,BEI_u.TO,3/18/2024,6717960.97152631
400169,AGEAS,BE0974264930,B86S2N0,AGES.BR1,3/18/2024,15177076.5613197
400500,UMICORE,BE0974320526,BF44466,UMI.BR1,3/18/2024,9098943.49440595
400523,ACERINOX,ES0132105018,B01ZVZ5,ACX.MC,3/18/2024,7075824.3229634
400609,AEGON,BMG0112X1056,BPH0Y27,AEGN.AS1,3/18/2024,35104668.5550663
400627,TURKCELL ILETISIM HIZM.,TRATCELL91M1,B03MYN3,TCELL.IS,3/18/2024,57124866.9549761
400702,ADECCO,CH0012138605,7110720,ADEN.S,3/18/2024,17651108.4891215
400930,ASSA ABLOY,SE0007100581,BYPC1T4,ASSAb.ST,3/18/2024,35206788.1988692
401093,AHOLD DELHAIZE,NL0011794037,BD0Q398,AD.AS1,3/18/2024,51413491.488444
401112,AKBANK,TRAAKBNK91N6,B03MN70,AKBNK.IS,3/18/2024,113378121.670116
401140,AIR LIQUIDE,FR0000120073,B1YXBJ7,AIRP.PA1,3/18/2024,97675440.004564
401190,AKZO NOBEL,NL0013267909,BJ2KSG2,AKZO.AS1,3/18/2024,22529880.8992745
401207,AKSIGORTA,TRAAKGRT91O5,B03MND6,AKGRT.IS,3/18/2024,4891832.32197624
401224,AKSA AKRILIK KIMYAI,TRAAKSAW91E1,B03MNB4,AKSA.IS,3/18/2024,5193924.82586216
401225,AIRBUS,NL0000235190,4012250,AIR.PA1,3/18/2024,121545620.240905
401344,ALARKO HOLDING,TRAALARK91Q0,B03MNK3,ALARK.IS,3/18/2024,20073559.6841714
401632,ALLIANZ,DE0008404005,5231485,ALVG.DE,3/18/2024,181152645.315478
401701,ERAMET,FR0000131757,4017017,ERMT.PA1,3/18/2024,2801498.91121721
403197,ADIDAS,DE000A1EWWW0,4031976,ADSGn.DE,3/18/2024,100572576.025792
403574,BORUSAN BIRLESIK BORU FABRIKALARI,TRABRSAN91G8,B03MQ15,BRSAN.IS,3/18/2024,35997991.5252461
404164,ANADOLU SIGORTA,TRAANSGR91O1,B03MNW5,ANSGR.IS,3/18/2024,5153646.3949038
404238,RICHTER GEDEON,HU0000123096,BC9ZH86,GDRB.BU,3/18/2024,4476140.89539279
404904,ARNOLDO MONDADORI EDI.,IT0001469383,4084895,MOED.MI,3/18/2024,730155.000067711
405097,ATLAS COPCO A,SE0017486889,BLDBN41,ATCOa.ST,3/18/2024,63935315.3319174
405098,ATLAS COPCO B,SE0017486897,BLDBN52,ATCOb.ST,3/18/2024,21769687.4200574
405180,ARCELIK,TRAARCLK91H5,B03MP18,ARCLK.IS,3/18/2024,16793835.2917016
405196,ASELSAN ELNK.SANVETC.,TRAASELS91H2,B03MP41,ASELS.IS,3/18/2024,81467961.0412413
405671,ASSICURAZIONI GENERALI,IT0000062072,4056719,GASI.MI,3/18/2024,59353248.1138864
406149,RTL GRP,LU0061462528,B1BK209,RRTL.DE,3/18/2024,2623464.02405864
406720,AYGAZ,TRAAYGAZ91E0,B03MPL8,AYGAZ.IS,3/18/2024,3986873.93663522
406932,GIGASET,DE0005156004,4069320,GGS.F,3/18/2024,NA
407023,DANONE,FR0000120644,B1Y9TB3,DANO.PA1,3/18/2024,61002033.0745285
407026,BCO COMERCIAL PORTUGUES,PTBCP0AM0015,BZCNN35,BCP.LS1,3/18/2024,19256491.0598941
407141,BANKINTER,ES0113679I37,5474008,BKT.MC,3/18/2024,24424451.920391
407228,BCO SANTANDER,ES0113900J37,5705946,SAN.MC,3/18/2024,116584912.426735
407365,BANG AND OLUFSEN,DK0010218429,4161293,BO.CO,3/18/2024,264731.113580096
407683,INTESA SANPAOLO,IT0000072618,4076836,ISP.MI,3/18/2024,246758582.479464
407694,BANQUE NATIONALE DE BELGIQUE,BE0003008019,4076944,BNAB.BR1,3/18/2024,74709.1935483871
407732,BANK MILLENNIUM,PLBIG0000016,4077323,MILP.WA,3/18/2024,1929044.08271775
408252,BANK OF GREECE,GRS004013009,7376492,BOGr.AT,3/18/2024,90063.4540748361
408348,BASF,DE000BASF111,5086577,BASFn.DE,3/18/2024,99218115.9592943
408522,BMW,DE0005190003,5756029,BMWG.DE,3/18/2024,91948559.729252
408530,BAYER,DE000BAY0017,5069211,BAYGn.DE,3/18/2024,136733206.661835
408580,ABB,CH0012221716,7108899,ABBN.S,3/18/2024,107770128.694265
408904,BARCO,BE0974362940,BMB3BN1,BAR.BR1,3/18/2024,2014406.4290221
408930,BEIERSDORF,DE0005200000,5107401,BEIG.DE,3/18/2024,28951057.2657879
408948,BEKAERT,BE0974258874,5827431,BEKB.BR1,3/18/2024,1985687.66795042
409544,2INVEST,DE000A3H3L44,BM8SNQ6,2INVn.DE,3/18/2024,21079.2518335484
409590,BIC,FR0000120966,5298781,BICP.PA1,3/18/2024,1597407.36000016
409830,BILFINGER,DE0005909006,5117381,GBFG.DE,3/18/2024,2812845.06425586
410827,HELLENIC EXCHANGES HLDG,GRS395363005,4108278,EXCr.AT,3/18/2024,828488.096241172
411232,ACCOR,FR0000120404,5852842,ACCP.PA1,3/18/2024,28546903.7848957
411515,BOUYGUES,FR0000120503,4002121,BOUY.PA1,3/18/2024,28645182.5656716
411522,BCA POPOLARE DI SONDRIO,IT0000784196,4115223,BPSI.MI,3/18/2024,12733533.1832712
411574,BNC.DI DESIO E DELB.,IT0001041000,4115740,DESI.MI,3/18/2024,280518.088073671
411609,BPER Banca,IT0000066123,4116099,EMII.MI,3/18/2024,57107342.7106514
412162,BATICIM BATI ADCT.SYI.,TRABTCIM91F5,B03MPQ3,BTCIM.IS,3/18/2024,7166293.22031767
412267,Piraeus Financial Holdings,GRS014003032,BNC0DB0,BOPr.AT,3/18/2024,38404851.2824223
412532,BRISA BRIDGESTONE SABANCI,TRABRISA91E3,B03MQ60,BRISA.IS,3/18/2024,2652286.11483944
413117,BANK OF CYPRUS HOLDING,IE00BD5B1Y92,BD5B2N5,BOCH.CY,3/18/2024,155963.94029383
413234,ING BANK SLASKI BSK,PLBSK0000017,4132341,INGP.WA,3/18/2024,972462.142164569
413337,BANVIT,TRABANVT92A9,B03MPP2,BANVT.IS,3/18/2024,2858523.46910196
413366,BNP PARIBAS,FR0000131104,7309681,BNPP.PA1,3/18/2024,152483255.671712
414305,MBANK,PLBRE0000012,4143053,MBK.WA,3/18/2024,4512642.59261548
414403,BANK OF VALLETTA,MT0000020116,4144034,BOV.MT,3/18/2024,50574.3857266639
414933,BUDIMEX,PLBUDMX00013,4149330,BDXP.WA,3/18/2024,7371959.72047957
415265,BURE EQUITY,SE0000195810,4152651,BURE.ST,3/18/2024,1725400.64704392
415387,BURSA CIMENTO,TRABUCIM91F3,B03MQG0,BUCIM.IS,3/18/2024,3843536.46191911
415550,JM,SE0000806994,B142FZ8,JM.ST,3/18/2024,4752271.70803868
416279,THALES,FR0000121329,4162791,TCFP.PA1,3/18/2024,36660776.4208292
416343,CAP GEMINI,FR0000125338,4163437,CAPP.PA1,3/18/2024,69998302.1907302
416441,ANADOLU EFES,TRAAEFES91A9,B03MNV4,AEFES.IS,3/18/2024,11662106.9624521
416921,CARLSBERG B,DK0010181759,4169219,CARLb.CO,3/18/2024,25473936.3436507
417754,CARREFOUR,FR0000120172,5641567,CARR.PA1,3/18/2024,25572367.6051295
417841,CASINO GUICHARD,FR0000125585,4178419,CASP.PA1,3/18/2024,580964.803849136
417986,Naturgy Energy Group,ES0116870314,5650422,NTGY.MC,3/18/2024,17789369.0091472
418243,CORPORACION FINANCIERA ALBA,ES0117160111,5730409,ALB.MC,3/18/2024,178092.430675597
418560,INDRA SISTEMAS,ES0118594417,4476210,IDR.MC,3/18/2024,6502680.07593465
419454,CHRISTIAN DIOR,FR0000130403,4061393,DIOR.PA1,3/18/2024,3349146.69354839
419707,CIMSA,TRACIMSA91F9,B03MQV5,CIMSA.IS,3/18/2024,12744466.1504077
420535,ELLAKTOR,GRS191213008,4205351,HELr.AT,3/18/2024,682191.299845841
420763,INDUSTRIALI RIUNITE SHS,IT0000070786,4207636,CIRI.MI,3/18/2024,645180.703690524
420958,COLOPLAST B,DK0060448595,B8FMRX8,COLOb.CO,3/18/2024,26549853.8147875
421185,COLRUYT GROUP,BE0974256852,5806225,COLR.BR1,3/18/2024,3572953.41403477
421342,COMMERZBANK,DE000CBK1001,B90LKT4,CBKG.DE,3/18/2024,96980275.9815028
422060,CONTINENTAL,DE0005439004,4598589,CONG.DE,3/18/2024,23600556.9989035
422124,FOMENTO CONSTR.Y CNTR.,ES0122060314,5787115,FCC.MC,3/18/2024,298803.247976226
423244,UNICREDIT,IT0005239360,BYMXPS7,CRDI.MI,3/18/2024,267044622.725045
423586,ALPHA SERVICES AND HOLDINGS,GRS015003007,BZ1MXR7,ACBr.AT,3/18/2024,8375753.93531676
423932,ACCIONA S.A.,ES0125220311,5579107,ANA.MC,3/18/2024,13144653.7137561
424749,D'IETEREN GROUP,BE0974259880,4247494,IETB.BR1,3/18/2024,7783248.56639629
424894,LAMDA DEVELOPMENT,GRS245213004,4248947,LMDr.AT,3/18/2024,1425126.51605717
424910,DSM FIRMENICH AG,CH1216478797,BPCPSD6,DSFIR.AS1,3/18/2024,43407468.620752
